OWNER,TITLE,NAME,MAPGEO,ABSTRACT,KEYWORDS,CONTACT,WMSGetCap,WMTSGetCap,WFSGetCap
KT_AI,Abwasser Baujahr Gde,ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Baujahr Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3063.0.abwasser_baujahr_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Diese Karte zeigt das Alter der Abwasserleitungen an.,GEP,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Abwasser Funktion Hierarchisch Gde,ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Funktion Hierarchisch Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3064.0.abwasser_funktion_hierarchisch_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Diese Karte zeigt das hierarchische Funktion der Abwasserleitungen an.,GEP,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Abwasser KLARA Standorte Kt,ch.geoportal.ver_entsorgung_kommunikation.342.0.abwasser_klara_standorte_kt,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser KLARA Standorte Kt||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.342.0.abwasser_klara_standorte_kt||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Standorte der Kleinst-Abwasserreinigungsanlagen KLARA im Kanton St.Gallen,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Abwasser Werkplan Gde,ch.geoportal.ver_entsorgung_kommunikation.205.0.abwasser_werkplan_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Werkplan Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.205.0.abwasser_werkplan_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte zeigt die Werkleitungen der Abwasserentsorgung an. Es wird die Strassenentwässerung und Liegenschaftsentwässerung (teilweise mit Hausanschluss) sowie das Kanalisationsnetz dargestellt. Darin ersichtlich sind unter anderem Leitungen mit Schmutzabwasser, Mischabwasser, Regenabwasser, Meteorwasser sowie Versickerungsanlagen, Kontrollschächte, Einlaufschächte und Ölabscheider.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Abwasser Werkplan KTV-Aufnahmen,ch.geoportal.ver_entsorgung_kommunikation.3561.0.abwasser_werkplan_ktvaufnahmen,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Werkplan KTV-Aufnahmen||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3561.0.abwasser_werkplan_ktvaufnahmen||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte zeigt die Werkleitungen der Abwasserentsorgung an. Es wird die Strassenentwässerung und Liegenschaftsentwässerung (teilweise mit Hausanschluss) sowie das Kanalisationsnetz dargestellt. Darin ersichtlich sind unter anderem Leitungen mit Schmutzabwasser, Mischabwasser, Regenabwasser, Meteorwasser sowie Versickerungsanlagen, Kontrollschächte, Einlaufschächte und Ölabscheider.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Abwasser Werkplan Sanierungen Gde,ch.geoportal.ver_entsorgung_kommunikation.3644.0.abwasser_werkplan_sanierungen_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Abwasser Werkplan Sanierungen Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.3644.0.abwasser_werkplan_sanierungen_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Abwasser Werkplan mit sanieren Leitungen,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Alpkataster Kt AI,ch.geoportal.landwirtschaft.2618.0.alpkataster_kt_ai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Alpkataster Kt AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.landwirtschaft.2618.0.alpkataster_kt_ai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Die Kartierung der Alpen und Heimweiden basiert auf der Publikation «Innerrhoder Alpkataster 2012/13» von Josef Inauen und zeigt die Perimeter der individuellen Alpen an.,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Amphibienvorkommen Kt,ch.geoportal.wald_flora_fauna.53.0.amphibienvorkommen_kt,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Amphibienvorkommen Kt||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.wald_flora_fauna.53.0.amphibienvorkommen_kt||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte zeigt die Amphibienvorkommen in den Kantonen SG, AR und AI.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Amtliche Vermessung farbig Gde,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.104.0.amtliche_vermessung_farbig_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Amtliche Vermessung farbig Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.104.0.amtliche_vermessung_farbig_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in schwarz, bzw. farbig deren aktuellen, rechtsgültigen Stand und den kommunalen Übersichtsplan sowie die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in farbiger Darstellung an.","AV, AV farbig",,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Amtliche Vermessung Gde,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.40.0.amtliche_vermessung_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Amtliche Vermessung Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.40.0.amtliche_vermessung_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in schwarz/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an.",AV,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
