OWNER,TITLE,MAPGEO
KT_BS,Abfuhrzone (Gemeinde Basel),n.a.
KT_BS,Gebietseinteilung Arbeitsinspektorat,n.a.
KT_BS,Kataster der belasteten Standorte,n.a.
KT_BS,Alterspflegeheim,n.a.
KT_BS,Gebietseinteilung Ansprechpartner im Quartier,n.a.
KT_BS,Akutspital,n.a.
KT_BS,Ausnahmetransportrouten,n.a.
KT_BS,Bäume,n.a.
KT_BS,Fäll- und Baumersatzliste,n.a.
KT_BS,Gründigkeit A,n.a.
KT_BS,Gründigkeit B,n.a.
KT_BS,Gründigkeit C,n.a.
KT_BS,Gründigkeit D,n.a.
KT_BS,Gründigkeit E,n.a.
KT_BS,Gründigkeit F,n.a.
KT_BS,Gründigkeit G,n.a.
KT_BS,Gründigkeit H,n.a.
KT_BS,Gründigkeit K,n.a.
KT_BS,Gründigkeit L,n.a.
KT_BS,Gründigkeit O,n.a.
KT_BS,Gründigkeit T,n.a.
KT_BS,Nutzungseignungskarte Klasse 1,n.a.
KT_BS,Nutzungseignungskarte Klasse 2,n.a.
KT_BS,Nutzungseignungskarte Klasse 3,n.a.
KT_BS,Nutzungseignungskarte Klasse 4,n.a.
KT_BS,Nutzungseignungskarte Klasse 5,n.a.
KT_BS,Nutzungseignungskarte Klasse 6,n.a.
KT_BS,Nutzungseignungskarte Klasse 7,n.a.
KT_BS,Nutzungseignungskarte Klasse 9,n.a.
KT_BS,Nutzungseignungskarte Klasse N,n.a.
KT_BS,Bodenkarte Risikostufe 1,n.a.
KT_BS,Bodenkarte Risikostufe 2,n.a.
KT_BS,Bodenkarte Risikostufe 3,n.a.
KT_BS,Bodenkarte Risikostufe 4,n.a.
KT_BS,Bienenstand,n.a.
KT_BS,Freizeit & Sport,n.a.
KT_BS,Gesundheit & Soziales,n.a.
KT_BS,Kirchen & religiöse Gemeinschaften,n.a.
KT_BS,Kultur & Unterhaltung,n.a.
KT_BS,Öffentliche Einrichtungen - ohne WC,n.a.
KT_BS,Öffentliche Einrichtungen - WC,n.a.
KT_BS,Sehenswürdigkeiten,n.a.
KT_BS,Unterkünfte & Tagung,n.a.
KT_BS,Verkehr,n.a.
KT_BS,ø kleiner 200mm,n.a.
KT_BS,ø kleiner 200mm Intern,n.a.
KT_BS,ø ≥ 200mm,n.a.
KT_BS,ø ≥ 200mm Intern,n.a.
KT_BS,kassiert,n.a.
KT_BS,kassiert Intern,n.a.
KT_BS,Erdwärmebohrung,n.a.
KT_BS,Erdwärmebohrung Intern,n.a.
KT_BS,geplante Bohrung,n.a.
KT_BS,geplante Bohrung Intern,n.a.
KT_BS,Sondierbohrung,n.a.
KT_BS,Sondierbohrung Intern,n.a.
KT_BS,alle Bohrungen,n.a.
KT_BS,alle Bohrungen Intern,n.a.
KT_BS,Öffnungszeiten (So - Do / Fr Sa),n.a.
KT_BS,Perimeter Boulevardplan Innenstadt,n.a.
KT_BS,Baulinie (generell genehmigt),n.a.
KT_BS,innere Baulinie (generell genehmigt),n.a.
KT_BS,Baugrenze (generell genehmigt),n.a.
KT_BS,Strassenlinie (generell genehmigt),n.a.
KT_BS,Fussweglinie (generell genehmigt),n.a.
KT_BS,Baulinie (gültig),n.a.
KT_BS,innere Baulinie (gültig),n.a.
KT_BS,Baugrenze (gültig),n.a.
KT_BS,Strassenlinie (gültig),n.a.
KT_BS,Fussweglinie (gültig),n.a.
KT_BS,Gebäude (projektiert),n.a.
KT_BS,Hausnummern 1:200 (projektiert),n.a.
KT_BS,Hausnummern 1:500 (projektiert),n.a.
KT_BS,Hausnummern 1:1000 (projektiert),n.a.
KT_BS,Hausnummern 1:2000 (projektiert),n.a.
KT_BS,Bahnareal (AV),n.a.
KT_BS,Fabrikareal,n.a.
KT_BS,Gewässervorland (befestigt),n.a.
KT_BS,Hafenareal,n.a.
KT_BS,Sportanlage,n.a.
KT_BS,Strasse - Weg,n.a.
KT_BS,Tramareal,n.a.
KT_BS,Trottoir,n.a.
KT_BS,Verkehrsinsel,n.a.
KT_BS,Wasserbecken,n.a.
KT_BS,übrige befestige,n.a.
KT_BS,geschlossener Wald,n.a.
KT_BS,übrige bestockte,n.a.
KT_BS,Gebäude,n.a.
KT_BS,Tank,n.a.
KT_BS,fliessendes Gewässer,n.a.
KT_BS,stehendes Gewässer,n.a.
KT_BS,Acker - Wiese - Weide,n.a.
KT_BS,Friedhof,n.a.
KT_BS,Gartenanlage,n.a.
KT_BS,Parkanlage - Spielplatz,n.a.
KT_BS,Schrebergarten,n.a.
KT_BS,Sportanlage humusiert,n.a.
KT_BS,Tierpark,n.a.
KT_BS,Reben,n.a.
KT_BS,übrige Intensivkultur,n.a.
KT_BS,Gewässervorland (humusiert),n.a.
KT_BS,übrige humusierte,n.a.
KT_BS,Bogeninformation,n.a.
KT_BS,Bögen (theoretisch),n.a.
KT_BS,Unterirdisches Gebäude,n.a.
KT_BS,Rabatte,n.a.
KT_BS,Gemeindegrenze,n.a.
KT_BS,Kantonsgrenze,n.a.
KT_BS,Landesgrenze,n.a.
KT_BS,Liegenschaftsparzelle,n.a.
KT_BS,Allmendparzelle,n.a.
KT_BS,Baurecht,n.a.
KT_BS,andere Dienstbarkeit,n.a.
KT_BS,Unterbaurecht,n.a.
KT_BS,andere Dienstbarkeit (projektiert),n.a.
KT_BS,Liegenschaftsparzelle (projektiert),n.a.
KT_BS,Allmendparzelle (projektiert),n.a.
KT_BS,Baurecht (projektiert),n.a.
KT_BS,Unterbaurecht (projektiert),n.a.
KT_BS,Ortsname,n.a.
KT_BS,Flurname (Text),n.a.
KT_BS,Flurname,n.a.
KT_BS,Rohrleitung,n.a.
KT_BS,Servitutflächenelement,n.a.
KT_BS,Servitutlinienelement,n.a.
KT_BS,Servitutflächenelement (projektiert),n.a.
KT_BS,Servitutlinienelement (projektiert),n.a.
KT_BS,Grundbuchplaneinteilung,n.a.
KT_BS,Sektion (Vermessungseinteilungen),n.a.
KT_BS,Toleranzstufen,n.a.
KT_BS,Toleranzstufen (Text),n.a.
KT_BS,Grenzpunkt - Stein,n.a.
KT_BS,Grenzpunkt - Stein (Text),n.a.
KT_BS,Grenzpunkt - Kunststoffzeichen,n.a.
KT_BS,Grenzpunkt - Kunststoffzeichen (Text),n.a.
KT_BS,Grenzpunkt - Bolzen,n.a.
KT_BS,Grenzpunkt - Bolzen (Text),n.a.
KT_BS,Grenzpunkt - Kreuz,n.a.
KT_BS,Grenzpunkt - Kreuz (Text),n.a.
KT_BS,Grenzpunkt - unversichert,n.a.
KT_BS,Grenzpunkt - unversichert (Text),n.a.
KT_BS,Hoheitsgrenzpunkt - Stein,n.a.
KT_BS,Hoheitsgrenzpunkt - Stein (Text),n.a.
KT_BS,Hoheitsgrenzpunkt - Bolzen,n.a.
KT_BS,Hoheitsgrenzpunkt - Bolzen (Text),n.a.
KT_BS,Hoheitsgrenzpunkt - unversichert,n.a.
KT_BS,Hoheitsgrenzpunkt - unversichert (Text),n.a.
KT_BS,HFP1 - Bolzen horizontal,n.a.
KT_BS,HFP1 - Bolzen horizontal (Text),n.a.
KT_BS,HFP3 - Bolzen horizontal,n.a.
KT_BS,HFP3 - Bolzen horizontal (Text),n.a.
KT_BS,HFP3 - Bolzen vertikal,n.a.
KT_BS,HFP3 - Bolzen vertikal (Text),n.a.
KT_BS,Höhenfixpunkte (Filter),n.a.
KT_BS,LFP1,n.a.
KT_BS,LFP1 (Text),n.a.
KT_BS,LFP2,n.a.
KT_BS,LFP2 (Text),n.a.
KT_BS,LFP3 - Nebenpolygonpunkt,n.a.
KT_BS,LFP3 - Nebenpolygonpunkt (Text),n.a.
KT_BS,LFP3 - Polygonpunkt,n.a.
KT_BS,LFP3 - Polygonpunkt (Text),n.a.
KT_BS,Lagefixpunkte (Filter),n.a.
KT_BS,LFP3 - Versicherungspunkt,n.a.
KT_BS,LFP3 - Versicherungspunkt (Text),n.a.
KT_BS,LFP3 - Nebenpunkt,n.a.
KT_BS,LFP3 - Nebenpunkt (Text),n.a.
KT_BS,Servitut-Punkt,n.a.
KT_BS,Servitut-Punkt (Text),n.a.
KT_BS,Postleitzahlenkreis,n.a.
KT_BS,Servitut: Flächen,n.a.
KT_BS,Servitut: Linien,n.a.
KT_BS,Servitutkennzeichen,n.a.
KT_BS,Gebietseinteilung Baubewilligung,n.a.
KT_BS,Gebietseinteilung Baukontrolle,n.a.
KT_BS,Bauinstallation,n.a.
KT_BS,Boulevard / Verkaufsfläche,n.a.
KT_BS,Öffentliche Baustelle,n.a.
KT_BS,Umleitung,n.a.
KT_BS,Veranstaltung,n.a.
KT_BS,Weitere,n.a.
KT_BS,Sperrung durch erledigte Aufgrabung,n.a.
KT_BS,Sperrung für zukünftige Aufgrabung,n.a.
KT_BS,Defibrillator,n.a.
KT_BS,Denkmalinventar Anlage,n.a.
KT_BS,Denkmalinventar Objekt,n.a.
KT_BS,Inventar erarbeitet,n.a.
KT_BS,Gebäude projektiert (Gebäudepunkt),n.a.
