KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.185.0.ablagerungen_2005_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ver_entsorgung_kommunikation.205.0.abwasser_werkplan_gde: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ver_entsorgung_kommunikation.935.0.alternativ_tankstellen_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.wald_flora_fauna.53.0.amphibienvorkommen_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1263.0.amtliche_vermessung_grau_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1319.0.av_gebiete_mit_dauernden_bodenverschiebungen: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.verkehr.331.0.baustellen_tba_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.gewaesser.186.0.bauwerke_und_abstuerze_2005_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ver_entsorgung_kommunikation.308.0.beleuchtung_werkplan_gde: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.wald_flora_fauna.350.0.bestandeskarte_2014_kt_ar: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.wald_flora_fauna.1603.0.bestandeskarte_2019_kt_arai: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.landwirtschaft.64.0.bienenstandorte_kt: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.geologie_boden_naturbedingte_risiken.1051.0.bodeneignungskarte_ch: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.umwelt_naturschutz.1356.0.bundesinventar_der_landschaften_und_naturdenkmaeler_bln_ch: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.ver_entsorgung_kommunikation.1250.0.cablecom_werkplan_gde: sequence item 0: expected str instance, NoneType found
KT_AR https://www.geoportal.ch/services/wms/ktar?SERVICE=WMS&REQUEST=GetCapabilities ch.geoportal.basiskarten_bodenbedeckung_bilddaten.2184.0.dufour_karte: sequence item 0: expected str instance, NoneType found
